l0_mm,group_a,entity_a,group_b,entity_b,adjacent,bbox_lower_bound_mm,distance_mm,common_volume_mm3,reference_common_volume_mm3,excess_common_volume_mm3
70.0,fixed,4010电机,left_proximal_negative,大腿,True,0.0,0.0,0.0,0.0,0.0
70.0,fixed,4010电机001,left_proximal_positive,大腿垫高,True,1.4210854715202004e-14,0.0,0.0,0.0,0.0
70.0,fixed,4010电机,left_distal_positive,小腿004,False,0.0,38.020546924846684,0.0,0.0,0.0
70.0,fixed,4010电机001,left_distal_positive,小腿004,False,0.0,0.9849075000606671,0.0,0.0,0.0
70.0,fixed,4010电机003,right_proximal_negative,大腿垫高001,True,2.842170943040401e-14,0.0,0.0,0.0,0.0
70.0,fixed,4010电机002,right_proximal_positive,大腿002,True,1.4210854715202004e-14,0.0,0.0,0.0,0.0
70.0,fixed,4010电机002,right_distal_negative,小腿010,False,0.0,38.02054692520528,0.0,0.0,0.0
70.0,fixed,4010电机003,right_distal_negative,小腿010,False,0.0,0.9849075002069501,0.0,0.0,0.0
70.0,left_proximal_negative,大腿,left_distal_negative,推力轴承,True,0.0,1.2789769243681803e-13,0.0,0.0,0.0
70.0,left_proximal_negative,大腿,left_distal_negative,小腿001,True,1.0000000000001137,1.000000000000142,0.0,0.0,0.0
70.0,left_proximal_negative,大腿,left_distal_negative,cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C,True,0.0,0.09999999965204757,0.0,0.0,0.0
70.0,left_proximal_negative,大腿,left_distal_negative,"hex nuts, style 1-grades ab gb_GB_FASTENER_NUT_SNAB1 M4-C",True,0.0,1.1368683772161603e-13,0.0,0.0,0.0
70.0,left_proximal_negative,大腿,left_distal_positive,小腿004,False,0.0,45.15773105826796,0.0,0.0,0.0
70.0,left_proximal_positive,大腿垫高,left_distal_negative,小腿001,False,0.0,45.15773105862572,0.0,0.0,0.0
70.0,left_proximal_positive,大腿001,left_distal_negative,小腿001,False,0.0,45.15773105862571,0.0,0.0,0.0
70.0,left_proximal_positive,大腿垫高,left_distal_positive,小腿004,True,0.0,7.864601348359739,0.0,0.0,0.0
70.0,left_proximal_positive,大腿001,left_distal_positive,小腿004,True,1.0000000000000995,1.000000000000142,0.0,0.0,0.0
70.0,left_proximal_positive,大腿001,left_distal_positive,推力轴承001,True,0.0,1.4210854715202004e-13,0.0,0.0,0.0
70.0,left_proximal_positive,大腿001,left_distal_positive,cross recessed pan head screws gb_GB_CROSS_SCREWS_TYPE1 M4X16-16  H type-C001,True,0.0,0.0999999995582872,0.0,0.0,0.0
70.0,left_proximal_positive,大腿001,left_distal_positive,"hex nuts, style 1-grades ab gb_GB_FASTENER_NUT_SNAB1 M4-C001",True,0.0,5.684341886080802e-14,0.0,0.0,0.0
70.0,left_distal_negative,小腿001,left_distal_positive,小腿004,True,0.9999999999999858,0.9999999999999858,0.0,0.0,0.0
70.0,left_distal_negative,小腿001,left_wheel,推力轴承002,True,0.0,1.4210854715202004e-14,0.0,0.0,0.0
70.0,left_distal_negative,小腿001,left_wheel,驱动板004,True,0.4999999999998721,0.4999999999998863,0.0,0.0,0.0
70.0,left_distal_negative,小腿001,left_wheel,MISUMI_CBSTSR4-16_内六角螺栓（盖螺栓）,True,0.0,0.0,0.0,0.0,0.0
70.0,left_distal_positive,小腿004,left_wheel,推力轴承002,True,0.0,0.0,0.0,0.0,0.0
70.0,left_distal_positive,小腿004,left_wheel,MISUMI_C-SE604ZZ_不锈钢小径滚珠轴承,True,0.0,1.4210854715202004e-14,0.0,0.0,0.0
70.0,left_distal_positive,小腿004,left_wheel,MISUMI_CBSTSR4-16_内六角螺栓（盖螺栓）,True,0.0,0.09999999939378884,0.0,0.0,0.0
70.0,right_proximal_negative,大腿垫高001,right_distal_negative,小腿010,True,0.0,7.864601348528958,0.0,0.0,0.0
70.0,right_proximal_negative,大腿003,right_distal_negative,推力轴承004,True,0.0,1.4210854715202004e-13,0.0,0.0,0.0
70.0,right_proximal_negative,大腿003,right_distal_negative,小腿009,True,2.0,2.0,0.0,0.0,0.0
